sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,base_image,small_image,thumbnail_image,additional_images
OPT-PM-101,,Default,simple,Default Category/Brackets/Projector Brackets,base,OPT-PM-101,"<strong>PROJECTOR CEILING MOUNT: PM 101</strong><br><br>Compatibility : Fit up to almost 99% of the current projector model<br>Maximum load : 20KG (44 lbs)<br>Color : Black<br>Qty / Carton : 12 pcs<br><br>Pricing is based on per set basis.<br>For Bulk orders, please call us @ (+65) 6684 9668<br><br><strong> Specifications</strong><br><br>• Extremely Flush design up to 3.24""<br>• Great flexibility and adaptability<br>• Safety Measure ( 2.0mm Thickness pipe)<br>• Pitching upwards, downwards and side ways up to 20 degrees<br>• Pre-assembled for ease of installation<br>• Fast disconnection for ease of maintenance Adjustable length from 3.24"" (82.3mm) to 12.0"" (304.80mm)","<strong>PROJECTOR CEILING MOUNT PM 101</strong>
\n<ul>
\n<li>Extremely Flush design up to 3.24""</li>
\n<li>Great flexibility and adaptability</li>
\n<li>Pitching upwards, downwards and side ways up to 20 degrees</li>
\n<li> Fast disconnection for ease of maintenance Adjustable length from 3.24"" (82.3mm) to 12.0"" (304.80mm)</li>
\n</ul>",,,Taxable Goods,"Catalog, Search",55,,,,opt-pm-101,OPT-PM-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-PM-101.jpg,OPT-PM-101.jpg,OPT-PM-101.jpg,
OPT-WM-10,,Default,simple,Default Category/Brackets/LCD Wall Brackets,base,OPT-WM-10,"<strong>LCD MONITOR WALL MOUNT (TILT) : OPT-WM-10</strong><br><br>Compatibility : 14"" to 24"" Flat Panel<br>Maximum load : 25 KG (55 lbs)<br>VESA : 75mm X 75mm OR 100mm X 100mm<br>Mounting profile : 40mm (1.57"") from Wall<br>Tilting angle : -20 to +20 degree<br>Color : Black<br>Qty / Carton : 12 pcs<br><br>Pricing is based on per set basis.<br>For Bulk orders, please call us @ (+65) 6684 9668<br><br><strong>Specifications</strong><br><br>• Space Saving<br>• Pre-assembled for ease of installation<br>• Great flexibilty and adaptability<br>• Designed to be mounted on concrete or masonry wall<br>• VESA compliance<br>• Hardware included<br>• Can also be used as Wall Speaker Mount",LCD MONITOR WALL MOUNT (TILT)<br><br>• Space Saving<br>• Great flexibilty and adaptability<br>• VESA compliance<br>• Can also be used as Wall Speaker Mount,,,Taxable Goods,"Catalog, Search",25,,,,opt-wm-10,OPT-WM-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-WM-10.jpg,OPT-WM-10.jpg,OPT-WM-10.jpg,
OPT-FPC-S20,,Default,simple,Default Category/Brackets/LCD TV Ceiling Brackets,base,OPT-FPC-S20,"<strong>CEILING FLAT PANEL BRACKET - SINGLE: OPT-FPC-S20 </strong><br><br>Compatibility : 24"" to 42"" Flat Panel<br>Maximum load : 100 KG (220 lbs)<br>Color : Black<br>Tilting angle : -5 to +20 degree<br><br>Pricing is based on per set basis.<br>For Bulk orders, please call us @ (+65) 6684 9668<br><br><strong>Specifications</strong><br><br>• Great flexibility and adaptability • Different Length of NPT pipe available<br>• Weight distributed with the bended pipe design • Fast disconnection for ease of maintenance<br>• Combine with Self-Centering Mount (SCM) for larger size TV • Hardware included",CEILING FLAT PANEL MOUNT SINGLE<br><br>• Great flexibility and adaptability<br>• Weight distributed with the bended pipe design<br>• Combine with Self-Centering Mount (SCM) for larger size TV,,,Taxable Goods,"Catalog, Search",280,,,,opt-fpc-s20,OPT-FPC-S20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-FPC-S20.jpg,OPT-FPC-S20.jpg,OPT-FPC-S20.jpg,
OPT-CL-63-M,,Default,simple,"Default Category/Brackets/Articulating Brackets, Brackets",base,FLAT PANEL ARTICULATING MOUNT - OPT-CL-63-M,"<strong>FLAT PANEL ARTICULATING MOUNT-M</strong><br><br>Compatibility : 24"" to 37"" Flat Panel<br>Maximum load : 50 KG (121 lbs)<br>VESA : 75/100/200 &amp; 100x200<br>Mounting profile : 100mm (3.94"") from Wall<br>Tilting angle : -5 to +20 degree<br>Color : Black<br>Qty / Carton : 2 pcs<br><br>Pricing is based on per set basis.<br>For Bulk orders, please call us @ (+65) 6684 9668<br><br><strong>Specifications</strong><br><ul><br> <li>Extends up to 390mm (15.35"")</li><br> <li>Pre-assembled for ease of installation</li><br> <li>Great flexibilty and adaptability</li><br> <li>Designed to be mounted on concrete or masonry wall</li><br> <li>VESA compliance</li><br> <li>Hardware included</li><br> <li>Integrated cable management system</li><br></ul>","<strong>FLAT PANEL ARTICULATING MOUNT</strong><br><br>• Extended up to 390mm (15.35"")<br>• Great flexibilty and adaptability<br>• VESA compliance<br>• Integrated cable management system",,,Taxable Goods,"Catalog, Search",98,,,,flat-panel-articulating-mount-opt-cl-63-m,FLAT PANEL ARTICULATING MOUNT - OPT-CL-63-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-CL-63-M.jpg,OPT-CL-63-M.jpg,OPT-CL-63-M.jpg,
OPT-PM-109,,Default,simple,"Default Category/Brackets, Brackets/Projector Brackets",base,OPT-PM-109 PROJECTOR CEILING MOUNT,"<strong>OPT-PM-109 PROJECTOR CEILING MOUNT</strong><br><br>OPT-PM-109 Projector ceiling mount comes with a external tension adjustment. With this function, installer can now adjust the tightness of the tilting at ease.<br><br>Compatibility : Fit up to almost 99% of the current projector model<br><br>Maximum load : 20KG (44 lbs)<br>Color : Black<br>Qty / Carton : 12 pcs<br><br>Pricing is based on per piece.<br>For bulk oders, please call us @ (+65) 6684 9668","<strong>OPT-PM-109 PROJECTOR CEILING MOUNT</strong><br><ul><br> <li>External Tension Adjustment</li><br> <li>Pre-assembled for ease of installation</li><br> <li>Great flexibility and adaptability</li><br> <li>Safety Measure ( 2.0mm Thickness pipe)</li><br> <li>Pitching upwards, downwards and side ways up to 20 degrees</li><br> <li>Fast disconnection for ease of maintenance Adjustable length from 22.83"" (580mm) to 31.7"" (805.3mm)</li><br></ul>",,,Taxable Goods,"Catalog, Search",76,,,,opt-pm-109-projector-ceiling-mount,OPT-PM-109 PROJECTOR CEILING MOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-PM-109.jpg,OPT-PM-109.jpg,OPT-PM-109.jpg,
OPT-PM-150,,Default,simple,Default Category/Brackets/Projector Brackets,base,PROJECTOR CEILING FLUSH MOUNT - OPT-PM-150,"<strong>PROJECTOR CEILING FLUSH MOUNT</strong><br><br>PM150 is a flush mount use mainly for large size projectors. For example, for projectors from 5000 Ansi Lumen and above. Installer can use NPT pipes to extend the length of the projector mount from ceiling.<br><br>Compatibility : Fit up to almost 99% of the current projector model<br>Maximum load : 30KG (66 lbs)<br>Color : Black<br><br>Pricing is based on per set basis.<br>For Bulk orders, please call us @ (+65) 6684 9668<br><br><strong>Projector Ceiling Flush Mount Specifications</strong><br><ul><br> <li>External Tension Adjustment</li><br> <li>Pre-assembled for ease of installation</li><br> <li>Great flexibility and adaptability</li><br> <li>Safety Measure ( 3.0mm Thickness Metal Plate)</li><br> <li>Pitching upwards, downwards and side ways up to 20 degrees</li><br> <li>Fast disconnection for ease of maintenance</li><br> <li>NPT Pipe connection for extension of length</li><br></ul>","<strong>PROJECTOR CEILING FLUSH MOUNT</strong><br><br>• External Tension Adjustment<br>• Great flexibility and adaptability<br>• Pitching upwards, downwards and side ways up to 20 degrees<br>• Fast disconnection for ease of maintenance",,,Taxable Goods,"Catalog, Search",76,,,,projector-ceiling-flush-mount-opt-pm-150,PROJECTOR CEILING FLUSH MOUNT - OPT-PM-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-PM-150.jpg,OPT-PM-150.jpg,OPT-PM-150.jpg,
OPT-PM-200,,Default,simple,Default Category/Brackets/Projector Brackets,base,OPT-PM-200,"Compatibility : Specially Design For Sanyo XF47 / Eiki LC-XT5<br><br>Maximum load : 100 KG (220 lbs)<br>Color : Black<br>Qty / Carton : 1 pcs<br><br><strong>Specification<br></strong>• Great flexibility and adaptability<br>• Concealed Cable Management System<br>• 1/4"" NPT pipe<br>• Only Ceiling Mount Capability<br>• 360 degree rotation<br>• Pre-assembled for ease of installation<br>• Thick metal base plate for stability<br>• Safety Measure ( 4.0mm Thickness pipe)<br>• Length of NPT pipe custom made to suit different ceiling height<br>• Pitching upwards, downwards and side ways up to 20 degrees","• Great flexibility and adaptability<br>• Pitching upwards, downwards and side ways up to 20 degrees<br>• 360 degree rotation<br>• 1/4"" NPT pipe<br>• Length of NPT pipe custom made to suit different ceiling height",,,Taxable Goods,"Catalog, Search",450,,,,opt-pm-200,OPT-PM-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-PM-200.jpg,OPT-PM-200.jpg,OPT-PM-200.jpg,
OPT-WM-25F,,Default,simple,Default Category/Brackets/LCD Wall Brackets,base,OPT-WM-25F,"<strong>FLAT PANEL FIXED MOUNT MEDIUM</strong><br><br>Compatibility : 26"" to 42"" Flat Panel<br>Maximum load : 50 KG (110 lbs)<br>Mounting profile : 28mm (1.1"") from wall<br>Color : Black<br>Qty / Carton : 4 pcs<br><br>Pricing is based on per set basis.<br>For Bulk orders, please call us @ (+65) 6684 9668<br><br><strong>Specifications</strong><br><br>• Extremely Flush Mount 28mm (1.1"") between screen and wall<br>• Pre-assembled for ease of installation<br>• Designed to be mounted on concrete or masonry wall<br>• Great flexibilty and adaptability<br>• VESA compliance Hardware included Comes with Bubble leveler","<strong>FLAT PANEL FIXED MOUNT MEDIUM</strong><br><br>• Extremely Flush Mount 28mm (1.1"") between screen and wall<br>• Designed to be mounted on concrete or masonry wall<br>• Pre-assembled for ease of installation<br>• Great flexibilty and adaptability<br>• VESA compliance Hardware included Comes with Bubble leveler",,,Taxable Goods,"Catalog, Search",42.5,,,,opt-wm-25f,OPT-WM-25F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-WM-25F.jpg,OPT-WM-25F.jpg,OPT-WM-25F.jpg,
OPT-WM-25T,,Default,simple,Default Category/Brackets/LCD Wall Brackets,base,OPT-WM-25T,"<strong>FLAT PANEL TILT MOUNT MEDIUM</strong><br><br>Compatibility : 26"" to 42"" Flat Panel<br>Maximum load : 50 KG (110 lbs)<br>Mounting profile : 64mm (2.52"") from wall<br>Tilting angle : -9 to +15 degree<br>Color : Black<br>Qty / Carton : 4 pcs<br><br>Pricing is based on per set basis.<br>For Bulk orders, please call us @ (+65) 6684 9668<br><br><strong>Specifications</strong><br><br>• Tilting Range from -9 to +15 degree<br>• Great flexibilty and adaptability<br>• Slim Tilt Mount with only 64mm (2.52"") between screen and wall<br>• Pre-assembled for ease of installation<br>• Designed to be mounted on concrete or masonry wall<br>• VESA compliance<br>• Hardware included Comes with Bubble leveler","FLAT PANEL TILT MOUNT MEDIUM<br><br>• Tilting Range from -9 to +15 degree<br>• Slim Tilt Mount with only 64mm (2.52"") between screen and wall<br>• Designed to be mounted on concrete or masonry wall<br>• Hardware included Comes with Bubble leveler",,,Taxable Goods,"Catalog, Search",87.5,,,,opt-wm-25t,OPT-WM-25T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-WM-25T.jpg,OPT-WM-25T.jpg,OPT-WM-25T.jpg,
OPT-WM-35F,,Default,simple,Default Category/Brackets/LCD Wall Brackets,base,OPT-WM-35F,"<strong>FLAT PANEL FIXED MOUNT LARGE</strong><br><br>Compatibility : 37"" to 63"" Flat Panel<br>Maximum load : 100 KG (220 lbs)<br>Mounting profile : 31mm (1.22"") from wall<br>Color : Black<br>Qty / Carton : 4 pcs<br><br>Pricing is based on per set basis.<br>For Bulk orders, please call us @ (+65) 6684 9668<br><br><strong>Specifications</strong><br><br>• Extremely Flush Mount 31mm (1.22"") between screen and wall<br>• Great flexibilty and adaptability<br>• Designed to be mounted on concrete or masonry wall<br>• Pre-assembled for ease of installation<br>• Hardware included<br>• VESA compliance<br>• Comes with Bubble leveler","FLAT PANEL FIXED MOUNT LARGE<br><br>• Extremely Flush Mount 31mm (1.22"") between screen and wall<br>• Designed to be mounted on concrete or masonry wall<br>• Hardware included",,,Taxable Goods,"Catalog, Search",67.5,,,,opt-wm-35f,OPT-WM-35F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT-WM-35F.jpg,OPT-WM-35F.jpg,OPT-WM-35F.jpg,
